Suburb/Town Name,Postcode,Incidents Recorded,population,lat,lng
Wingan River,3891,14,4.0,-37.6296,149.53008
Wingeel,3321,10,23.0,-38.077490000000004,143.80494
Winjallok,3477,1,17.0,-36.8516,143.20107
Winlaton,3585,3,7.0,-35.48235,143.74705
Winnambool,3546,1,22.0,-34.96013,142.76756
Winnap,3304,9,20.0,-37.90703,141.38547
Winnindoo,3858,37,75.0,-38.07645,146.75305
Winslow,3281,44,368.0,-38.23761,142.45946
Winton,3673,112,108.0,-36.52192,146.09826
Winton North,3673,16,7.0,-36.455529999999996,146.09708
Wirrate,3608,3,3.0,-36.76785,144.98817
Wiseleigh,3885,37,164.0,-37.71012,147.79246
Wodonga,3690,17099,18948.0,-36.12578,146.88243
Wollert,3750,4810,9060.0,-37.59088,145.00394
Wombat Creek,3888,25,25.0,-37.76795,148.2559
Wombelano,3409,3,41.0,-37.02261,141.57017
Won Wron,3971,52,222.0,-38.46425,146.73356
Wonga,3960,8,33.0,-38.60113,146.25378999999998
Wonga Park,3115,626,3796.0,-37.735490000000006,145.26584
Wongarra,3234,9,37.0,-38.67476,143.7861
Wongungarra,3862,2,0.0,-37.25434,147.05121
Wonnangatta,3737,6,0.0,-37.13219,146.78311000000002
Wonthaggi,3995,5688,4965.0,-38.6215,145.59361
Wonwondah,3401,32,103.0,-36.887209999999996,142.1793
Wonyip,3962,33,32.0,-38.54497,146.37876
Wood Wood,3596,23,85.0,-35.09983,143.33041
Woodend,3442,1838,5806.0,-37.368990000000004,144.53509
Woodend North,3442,57,304.0,-37.31856,144.52465
Woodfield,3715,21,36.0,-37.057320000000004,145.76705
Woodford,3281,32,361.0,-38.31532,142.48623999999998
Woodglen,3875,10,43.0,-37.773070000000004,147.38421
Woodhouse,3294,5,39.0,-37.809020000000004,142.41812
Woodleigh,3945,34,125.0,-38.39273,145.61063000000001
Woods Point,3723,78,37.0,-37.56017,146.34188999999998
Woodside,3874,177,364.0,-38.53771,146.92113
Woodside Beach,3874,34,95.0,-38.54613,146.97778
Woodstock,3751,125,150.0,-37.54475,145.0614
Woodstock On Loddon,3551,9,28.0,-36.75468,143.99928
Woodstock West,3463,4,41.0,-36.81794,143.98897
Woodvale,3556,242,449.0,-36.662729999999996,144.19051000000002
Wool Wool,3249,4,38.0,-38.21768,143.41253
